date,matric_class,zaf_learners_who_wrote_matric_exams,zaf_learners_passed_with_nsc_bachelor_pass,zaf_percent_learners_passed,ec_learners_who_wrote_matric_exams,ec_learners_passed_with_nsc_bachelor_pass,ec_percent_learners_passed,fs_learners_who_wrote_matric_exams,fs_learners_passed_with_nsc_bachelor_pass,fs_percent_learners_passed,gp_learners_who_wrote_matric_exams,gp_learners_passed_with_nsc_bachelor_pass,gp_percent_learners_passed,kzn_learners_who_wrote_matric_exams,kzn_learners_passed_with_nsc_bachelor_pass,kzn_percent_learners_passed,lp_learners_who_wrote_matric_exams,lp_learners_passed_with_nsc_bachelor_pass,lp_percent_learners_passed,mp_learners_who_wrote_matric_exams,mp_learners_passed_with_nsc_bachelor_pass,mp_percent_learners_passed,nw_learners_who_wrote_matric_exams,nw_learners_passed_with_nsc_bachelor_pass,nw_percent_learners_passed,nc_learners_who_wrote_matric_exams,nc_learners_passed_with_nsc_bachelor_pass,nc_percent_learners_passed,wc_learners_who_wrote_matric_exams,wc_learners_passed_with_nsc_bachelor_pass,wc_percent_learners_passed
"2009-12-31","2009","552073","109697","19.9","68129","9492","13.9","29808","6030","20.2","98659","28709","29.1","132176","26287","19.9","83350","10202","12.2","53978","6556","12.1","30665","6356","20.7","10377","1741","16.8","44931","14324","31.9"
"2010-12-31","2010","537543","126371","23.5","64090","10225","16","27586","5890","21.4","92241","31301","33.9","122444","31466","25.7","94632","14757","15.6","51695","8147","15.8","28909","8021","27.7","10182","2152","21.1","45764","14412","31.5"
"2011-12-31","2011","496090","120767","24.3","65359","10291","15.7","25932","6817","26.3","85367","30037","35.2","122126","27397","22.4","73731","12946","17.6","48135","8866","18.4","25364","7187","28.3","10116","2012","19.9","39960","15214","38.1"
"2012-12-31","2012","511152","136047","26.6","63989","11246","17.6","24265","6937","28.6","89627","32449","36.2","127253","34779","27.3","77360","15324","19.8","47889","9495","19.8","27174","7445","27.4","8925","2055","23","44670","16317","36.5"
"2013-12-31","2013","562112","171755","30.6","72138","13686","19","27105","8961","33.1","97897","38104","38.9","145278","47202","32.5","82483","18781","22.8","50053","12954","25.9","29140","10166","34.9","10403","2424","23.3","47615","19477","40.9"
"2014-12-31","2014","532860","150752","28.3","66935","13435","20.1","26440","7987","30.2","99478","36843","37","139367","35724","25.6","72990","16325","22.4","45081","11229","24.9","26066","8509","32.6","8794","2176","24.7","47709","18524","38.8"
"2015-12-31","2015","644536","166263","25.8","87090","15291","17.6","31161","9277","29.8","108442","38760","35.7","162658","34751","21.4","101575","20992","20.7","54980","13497","24.5","33286","8865","26.6","11623","2451","21.1","53721","22379","41.7"
"2016-12-31","2016","610178","162374","26.6","82902","15645","18.9","26786","9596","35.8","103829","37582","36.2","147648","36139","24.5","101807","18762","18.4","54251","12420","22.9","32045","8820","27.5","10041","2606","26","50869","20804","40.9"
"2017-12-31","2017","534484","153610","28.7","67648","15380","22.7","25130","8822","35.1","97284","35012","36","124317","35687","28.7","83228","17790","21.4","48483","11335","23.4","30792","8278","26.9","8735","2205","25.2","48867","19101","39.1"
"2018-12-31","2018","512735","172043","33.6","65733","18001","27.4","24914","9333","37.5","94870","41410","43.6","116152","38571","33.2","76730","17999","23.5","44612","13199","29.6","29061","9449","32.5","9909","2589","26.1","50754","21492","42.3"
"2019-12-31","2019","504303","186058","36.9","63198","20419","32.3","25572","9992","39.1","97829","43494","44.5","116937","44189","37.8","70847","19022","26.8","43559","14228","32.7","26819","9964","37.2","9138","2769","30.3","50404","21981","43.6"
"2020-12-31","2020","578468","210820","36.4","72926","21886","30","27928","11284","40.4","110191","49680","45.1","135225","51060","37.8","78695","22907","29.1","53391","16251","30.4","36871","11822","32.1","11608","3296","28.4","51633","22634","43.8"
"2021-12-31","2021","704021","256031","36.4","91500","31384","34.3","35055","13971","39.9","127523","55848","43.8","166570","61856","37.1","105101","28072","26.7","66756","21044","31.5","41081","13875","33.8","12726","3856","30.3","57709","26125","45.3"
"2022-12-31","2022","725146","278814","38.4","94993","34974","43","36607","15747","43.4","133841","58119","42.5","164308","69849","29.8","110295","32878","33.5","67367","22576","33.6","43823","14733","30.8","13574","4177","42.7","60338","25761","38.4"
"2023-12-31","2023","691160","282894","40.9","95697","37898","39.6","34451","15414","44.7","127697","56552","44.3","157911","72099","45.7","93533","34018","36.4","65534","21819","33.3","41418","15061","36.4","12842","3851","30","62077","26182","42.2"