date,matric_class,ec_percent_learners_passed_with_30percent,ec_percent_learners_passed_with_40percent,ec_percent_learners_passed_with_50percent,fs_percent_learners_passed_with_30percent,fs_percent_learners_passed_with_40percent,fs_percent_learners_passed_with_50percent,gp_percent_learners_passed_with_30percent,gp_percent_learners_passed_with_40percent,gp_percent_learners_passed_with_50percent,kzn_percent_learners_passed_with_30percent,kzn_percent_learners_passed_with_40percent,kzn_percent_learners_passed_with_50percent,lp_percent_learners_passed_with_30percent,lp_percent_learners_passed_with_40percent,lp_percent_learners_passed_with_50percent,mp_percent_learners_passed_with_30percent,mp_percent_learners_passed_with_40percent,mp_percent_learners_passed_with_50percent,nw_percent_learners_passed_with_30percent,nw_percent_learners_passed_with_40percent,nw_percent_learners_passed_with_50percent,nc_percent_learners_passed_with_30percent,nc_percent_learners_passed_with_40percent,nc_percent_learners_passed_with_50percent,wc_percent_learners_passed_with_30percent,wc_percent_learners_passed_with_40percent,wc_percent_learners_passed_with_50percent
"2009-12-31","2009","28.6","13.8","0","39.9","21.7","0","42.6","26","0","39.2","21.5","0","31.8","16.1","0","28.9","15","0","38.3","21.8","0","33.4","17.5","0","52.9","36.7","0"
"2010-12-31","2010","43.3","23.5","0","44","26.9","0","55.6","38.4","0","50.4","30.3","0","41.3","23.8","0","41.5","24.7","0","50.2","30.9","0","45.6","27.9","0","59.6","45.1","0"
"2011-12-31","2011","46","25.9","0","55.2","35","0","59.7","42.4","0","51.9","30.8","0","52.1","31","0","52.2","33.3","0","56.3","36","0","44","27.6","0","65.3","50.8","0"
"2012-12-31","2012","50.4","27","0","68.6","44.2","0","70.1","50.5","0","58.3","35.2","0","59.9","36.1","0","63.2","41.5","0","62.5","38.9","0","60.1","38.1","0","70.9","54.4","0"
"2013-12-31","2013","55.8","29.9","0","75.8","48.8","0","75.6","52.8","0","66.4","41.5","0","65.6","39.8","0","65.5","41","0","74.5","46.6","0","61.5","36.1","0","72.6","53.8","0"
"2014-12-31","2014","51.5","26.5","0","69","42.8","0","68.3","45.9","0","55.8","31.2","0","66.7","38.9","0","58.7","34.4","0","64","36.8","0","60.4","36.7","0","70.7","51.5","0"
"2015-12-31","2015","45.9","24.8","0","69.7","43.3","0","67.7","46.1","0","51.8","30.2","0","59.6","35.4","0","62.6","38.5","0","62","35.9","0","54.3","33.1","0","73.3","54.7","0"
"2016-12-31","2016","49.6","27.7","0","75.5","50.2","0","68.5","46.7","0","57.8","36.4","0","62.3","37.9","0","63.6","39.6","0","69.6","43","0","57.4","34.1","0","73.8","56.4","0"
"2017-12-31","2017","57.3","33.7","0","77","53.5","0","70.4","49.4","0","65.1","42.4","0","63.2","37.6","0","61.6","38.6","0","64.3","39.4","0","56.8","34.1","0","74","57.3","0"
"2018-12-31","2018","66.5","39.4","0","81.7","55.6","0","83.5","60.9","0","73.6","48.5","0","71.8","43.9","0","70.2","44.1","0","78.6","50.2","0","66.9","41.2","0","79.5","60.2","0"
"2019-12-31","2019","70.3","44.5","0","82.7","57.1","0","84","62.4","0","74.8","51.2","0","72","46","0","70.9","48.2","0","79","53","0","69.2","44.4","0","81.8","62.9","0"
"2020-12-31","2020","55.6","32.3","18.2","71.2","45","26.2","72.6","50.2","33.5","69.7","46","28.2","63","38.3","22.4","60","37.9","22.9","68.5","42.2","25.5","53.4","32","20.2","76.2","57.5","42.9"
"2021-12-31","2021","62.3","37.4","21.2","75.1","48.1","28.9","73.5","51","34.1","71.2","47","28.3","67.8","41.6","23.8","61.5","38.5","22.6","77.5","50.4","29.4","65.2","42.4","24.1","78.3","59.7","44.5"
"2022-12-31","2022","70.5","43.9","24.8","80.6","53.7","32","76.7","53.3","34.9","77.3","53.1","32.2","73.3","46.1","26.9","68.1","45.6","27.7","77.3","49.2","28.6","69.5","42.2","25.1","81.1","61.4","45.2"
"2023-12-31","2023","75","48.2","27.7","80.2","52.5","31.4","77.9","54.8","36","77.8","53.3","32.1","77.1","49.5","28.5","68.4","44.7","27.1","76.4","48.2","28.4","67.2","40.1","23.3","82.2","63.2","46.6"